LECROYWaveRunnerkR 21099 Waveform
Segments 1 SegmentSize 100002
Segment TrigTime TimeSinceSegment1
#1 09-May-2022 14:43:36 0                 
Time Ampl
1.5006475e-006 -0.0439288
1.5006975e-006 -0.0436267
1.5007475e-006 -0.0396584
1.5007975e-006 -0.042336
1.5008475e-006 -0.0452882
1.5008975e-006 -0.0407432
1.5009475e-006 -0.0352919
1.5009975e-006 -0.0330537
1.5010475e-006 -0.0375163
1.5010975e-006 -0.0408255
1.5011475e-006 -0.0375163
1.5011975e-006 -0.0381754
1.5012475e-006 -0.0392053
1.5012975e-006 -0.0355253
1.5013475e-006 -0.0382715
1.5013975e-006 -0.0463592
1.5014475e-006 -0.0451234
1.5014975e-006 -0.0375438
1.5015475e-006 -0.0361569
1.5015975e-006 -0.0377223
1.5016475e-006 -0.0384775
1.5016975e-006 -0.038299
1.5017475e-006 -0.0360334
1.5017975e-006 -0.0369259
1.5018475e-006 -0.0394662
1.5018975e-006 -0.0388071
1.5019475e-006 -0.0382578
1.5019975e-006 -0.0404136
1.5020475e-006 -0.0438739
1.5020975e-006 -0.0442858
1.5021475e-006 -0.0406333
1.5021975e-006 -0.0397682
1.5022475e-006 -0.0426793
1.5022975e-006 -0.040702
1.5023475e-006 -0.0344405
1.5023975e-006 -0.0330262
1.5024475e-006 -0.0354978
1.5024975e-006 -0.0363354
1.5025475e-006 -0.0366101
1.5025975e-006 -0.0383677
1.5026475e-006 -0.0405784
1.5026975e-006 -0.0398506
1.5027475e-006 -0.0369671
1.5027975e-006 -0.0379557
1.5028475e-006 -0.0417043
1.5028975e-006 -0.0413336
1.5029475e-006 -0.0383402
1.5029975e-006 -0.039425
1.5030475e-006 -0.0406196
1.5030975e-006 -0.0385874
1.5031475e-006 -0.0423085
1.5031975e-006 -0.0457276
1.5032475e-006 -0.0389856
1.5032975e-006 -0.0361707
1.5033475e-006 -0.0403861
1.5033975e-006 -0.0399467
1.5034475e-006 -0.0395897
1.5034975e-006 -0.0410864
1.5035475e-006 -0.0385874
1.5035975e-006 -0.0382166
1.5036475e-006 -0.0411688
1.5036975e-006 -0.0388071
1.5037475e-006 -0.0362942
1.5037975e-006 -0.0418005
1.5038475e-006 -0.0458237
1.5038975e-006 -0.0415533
1.5039475e-006 -0.0373241
1.5039975e-006 -0.0384226
1.5040475e-006 -0.0398506
1.5040975e-006 -0.0389718
1.5041475e-006 -0.0379145
1.5041975e-006 -0.0378321
1.5042475e-006 -0.0399742
1.5042975e-006 -0.0404685
1.5043475e-006 -0.0380381
1.5043975e-006 -0.0362531
1.5044475e-006 -0.0353331
1.5044975e-006 -0.035388
1.5045475e-006 -0.035539
1.5045975e-006 -0.0373653
1.5046475e-006 -0.0406333
1.5046975e-006 -0.0399056
1.5047475e-006 -0.0378596
1.5047975e-006 -0.0400017
1.5048475e-006 -0.0409629
1.5048975e-006 -0.038299
1.5049475e-006 -0.0378596
1.5049975e-006 -0.0398232
1.5050475e-006 -0.0402214
