LECROY;WAVERUNNER8404M;LCRY4256N21099;8.4.1;TCPIP0::192.168.41.155
TriggerTime,2022-05-11--14-33-39.757
RelativeTime Ch.#1 Ch.#2 Ch.#3 Ch.#4
[s] [V] [V] [V] [V]
-8.062372E-8 -5.732466E-3 3.642093E-4 -3.912306E-2 -2.341311E-1
-8.057372E-8 -6.250132E-3 3.218916E-4 -3.648666E-2 -2.331698E-1
-8.052372E-8 -6.752007E-3 2.409182E-4 -3.427595E-2 -2.434683E-1
-8.047372E-8 -6.191088E-3 1.518070E-4 -3.699473E-2 -2.404473E-1
-8.042372E-8 -6.179417E-3 1.098963E-4 -4.339346E-2 -2.317967E-1
-8.037372E-8 -7.434448E-3 1.615726E-4 -4.403883E-2 -2.232833E-1
-8.032372E-8 -7.719371E-3 2.856774E-4 -3.843650E-2 -2.166924E-1
-8.027372E-8 -6.903050E-3 4.089684E-4 -3.661025E-2 -2.473130E-1
-8.022372E-8 -6.537801E-3 4.887211E-4 -3.820306E-2 -2.613187E-1
-8.017372E-8 -6.684038E-3 5.521975E-4 -3.816187E-2 -2.227340E-1
-8.012372E-8 -6.909230E-3 6.384605E-4 -3.850514E-2 -1.971941E-1
-8.007372E-8 -6.922960E-3 7.316410E-4 -4.151228E-2 -2.013135E-1
-8.002372E-8 -6.806245E-3 7.796553E-4 -4.211646E-2 -2.131221E-1
-7.997372E-8 -6.827529E-3 7.523929E-4 -3.902695E-2 -2.324831E-1
-7.992372E-8 -6.637352E-3 6.579917E-4 -3.755769E-2 -2.488234E-1
-7.987372E-8 -6.206192E-3 5.245283E-4 -3.862873E-2 -2.433310E-1
-7.982372E-8 -6.155387E-3 3.992028E-4 -4.122391E-2 -2.193012E-1
-7.977372E-8 -6.493174E-3 3.361332E-4 -4.228124E-2 -2.025492E-1
-7.972372E-8 -6.721112E-3 3.520022E-4 -4.063350E-2 -2.028239E-1
-7.967372E-8 -6.761619E-3 3.987958E-4 -3.740665E-2 -2.239699E-1
-7.962372E-8 -6.993677E-3 4.081547E-4 -3.606099E-2 -2.441547E-1
-7.957372E-8 -7.231913E-3 3.638023E-4 -3.906813E-2 -2.297370E-1
-7.952372E-8 -6.835081E-3 3.121260E-4 -3.836784E-2 -2.283640E-1
-7.947372E-8 -6.241893E-3 2.999189E-4 -3.569025E-2 -2.611814E-1
-7.942372E-8 -6.090163E-3 3.320642E-4 -3.824425E-2 -2.632411E-1
-7.937372E-8 -6.082611E-3 3.971683E-4 -3.768128E-2 -2.408593E-1
-7.932372E-8 -6.267983E-3 4.712243E-4 -3.394639E-2 -2.342682E-1
-7.927372E-8 -6.410787E-3 5.196454E-4 -3.644547E-2 -2.271280E-1
-7.922372E-8 -6.005717E-3 5.285973E-4 -4.156721E-2 -2.319341E-1
-7.917372E-8 -6.066821E-3 5.204594E-4 -4.270691E-2 -2.464890E-1
-7.912372E-8 -6.693650E-3 5.131350E-4 -4.057857E-2 -2.364652E-1
-7.907372E-8 -6.701202E-3 5.033694E-4 -3.650039E-2 -2.363279E-1
-7.902372E-8 -6.696396E-3 4.968590E-4 -3.525084E-2 -2.422323E-1
-7.897372E-8 -6.973079E-3 5.139490E-4 -3.942513E-2 -2.076297E-1
-7.892372E-8 -6.751320E-3 5.562666E-4 -4.004306E-2 -1.958210E-1
-7.887372E-8 -6.405294E-3 5.896324E-4 -3.769502E-2 -2.508831E-1
-7.882372E-8 -6.298877E-3 5.880049E-4 -3.953499E-2 -2.725782E-1
-7.877372E-8 -6.496606E-3 5.635908E-4 -3.969976E-2 -2.301490E-1
-7.872372E-8 -6.779470E-3 5.285973E-4 -3.656906E-2 -2.081790E-1
-7.867372E-8 -6.374399E-3 4.708173E-4 -3.785977E-2 -2.033732E-1
-7.862372E-8 -5.989239E-3 3.947269E-4 -4.288539E-2 -2.052956E-1
-7.857372E-8 -6.611949E-3 3.373539E-4 -4.189676E-2 -2.370145E-1
-7.852372E-8 -7.286151E-3 3.198572E-4 -3.551176E-2 -2.525308E-1
-7.847372E-8 -7.003288E-3 3.218916E-4 -3.547055E-2 -2.409966E-1
-7.842372E-8 -6.441682E-3 3.267743E-4 -4.195169E-2 -2.449787E-1
-7.837372E-8 -6.395683E-3 3.503747E-4 -4.493135E-2 -2.492354E-1
-7.832372E-8 -6.478069E-3 4.134444E-4 -4.192421E-2 -2.444293E-1
-7.827372E-8 -6.338698E-3 5.090660E-4 -3.983706E-2 -2.628293E-1
-7.822372E-8 -6.335265E-3 6.173018E-4 -4.258332E-2 -2.760112E-1
-7.817372E-8 -6.685411E-3 7.129235E-4 -4.180065E-2 -2.497845E-1
-7.812372E-8 -6.713560E-3 7.568689E-4 -3.391892E-2 -2.297370E-1
-7.807372E-8 -6.112133E-3 7.230961E-4 -3.147477E-2 -2.396235E-1
-7.802372E-8 -6.150581E-3 6.506676E-4 -3.728306E-2 -2.452533E-1
-7.797372E-8 -7.036243E-3 6.197430E-4 -3.869739E-2 -2.268534E-1
-7.792372E-8 -7.229166E-3 6.571780E-4 -3.636310E-2 -2.113371E-1
-7.787372E-8 -6.603710E-3 6.982749E-4 -3.875232E-2 -2.389369E-1
-7.782372E-8 -6.527502E-3 6.754885E-4 -4.229495E-2 -2.529428E-1
-7.777372E-8 -6.938064E-3 6.018395E-4 -4.406628E-2 -2.063940E-1
-7.772372E-8 -6.632546E-3 5.363284E-4 -4.394269E-2 -2.083163E-1
-7.767372E-8 -6.153326E-3 4.988934E-4 -4.251465E-2 -2.681844E-1
-7.762372E-8 -6.403921E-3 4.610517E-4 -4.263824E-2 -2.650261E-1
-7.757372E-8 -6.455413E-3 4.122236E-4 -4.061976E-2 -2.022746E-1
-7.752372E-8 -6.151954E-3 3.756026E-4 -3.794217E-2 -1.709673E-1
